Kombinacija,Ishod,Spin_profit,Total_profit 
"jag, nar, gro",fail,0.5,126.0
"nar, lim, jag",fail,0.5,126.5
"kes, tre, nar",fail,0.5,127.0
"nar, jag, tre",fail,0.5,127.5
"kes, nar, tre",fail,0.5,128.0
"tre, kes, tre",Duple_vockice,-0.5,127.5
"tre, tre, tre",Vocni_jackpot,-2.5,125.0
"tre, src, tre",Duple_vockice,-0.5,124.5
"tre, gro, tre",Duple_vockice,-0.5,124.0
"tre, lim, tre",Duple_vockice,-0.5,123.5
"src, lim, gro",fail,0.5,124.0
"src, gro, lim",fail,0.5,124.5
"tre, nar, tre",Duple_vockice,-0.5,124.0
"lim, tre, kes",fail,0.5,124.5
"tre, lim, tre",Duple_vockice,-0.5,124.0
"nar, kes, tre",fail,0.5,124.5
"nar, kes, nar",Duple_vockice,-0.5,124.0
"nar, nar, kes",Duple_vockice,-0.5,123.5
"nar, tre, nar",Duple_vockice,-0.5,123.0
"tre, lim, tre",Duple_vockice,-0.5,122.5
"jag, gro, tre",fail,0.5,123.0
"jag, lim, lim",Duple_vockice,-0.5,122.5
"jag, tre, nar",fail,0.5,123.0
"tre, jag, gro",fail,0.5,123.5
"jag, kes, gro",fail,0.5,124.0
"tre, nar, tre",Duple_vockice,-0.5,123.5
"tre, src, tre",Duple_vockice,-0.5,123.0
"jag, nar, jag",Duple_vockice,-0.5,122.5
"tre, lim, kes",fail,0.5,123.0
"tre, src, gro",fail,0.5,123.5
"src, nar, tre",fail,0.5,124.0
"lim, nar, tre",fail,0.5,124.5
"lim, gro, jag",fail,0.5,125.0
"tre, gro, jag",fail,0.5,125.5
"tre, tre, tre",Vocni_jackpot,-2.5,123.0
"src, jag, lim",fail,0.5,123.5
"kes, lim, nar",fail,0.5,124.0
"tre, kes, gro",fail,0.5,124.5
"gro, tre, tre",Duple_vockice,-0.5,124.0
"nar, gro, nar",Duple_vockice,-0.5,123.5
"lim, lim, jag",Duple_vockice,-0.5,123.0
"nar, src, gro",fail,0.5,123.5
"tre, lim, jag",fail,0.5,124.0
"gro, tre, tre",Duple_vockice,-0.5,123.5
"tre, lim, gro",fail,0.5,124.0
"nar, tre, kes",fail,0.5,124.5
"src, gro, tre",fail,0.5,125.0
"lim, nar, gro",fail,0.5,125.5
"gro, lim, tre",fail,0.5,126.0
"tre, kes, kes",bonus_x2,0.5,126.5
"gro, kes, jag",fail,0.5,127.0
"kes, tre, nar",fail,0.5,127.5
"jag, gro, lim",fail,0.5,128.0
"lim, gro, kes",fail,0.5,128.5
"gro, kes, gro",Duple_vockice,-0.5,128.0
"kes, lim, tre",fail,0.5,128.5
"tre, kes, jag",fail,0.5,129.0
"kes, src, tre",fail,0.5,129.5
"tre, nar, tre",Duple_vockice,-0.5,129.0
"jag, gro, lim",fail,0.5,129.5
"src, tre, tre",Duple_vockice,-0.5,129.0
"tre, lim, gro",fail,0.5,129.5
"tre, lim, nar",fail,0.5,130.0
"lim, tre, tre",Duple_vockice,-0.5,129.5
"tre, nar, tre",Duple_vockice,-0.5,129.0
"tre, src, nar",fail,0.5,129.5
"nar, lim, kes",fail,0.5,130.0
"jag, jag, tre",Duple_vockice,-0.5,129.5
"nar, src, tre",fail,0.5,130.0
"tre, jag, nar",fail,0.5,130.5
"nar, lim, tre",fail,0.5,131.0
"jag, kes, jag",Duple_vockice,-0.5,130.5
"kes, gro, tre",fail,0.5,131.0
"jag, jag, jag",Vocni_jackpot,-2.5,128.5
"lim, jag, kes",fail,0.5,129.0
"nar, gro, tre",fail,0.5,129.5
"tre, jag, tre",Duple_vockice,-0.5,129.0
"tre, tre, lim",Duple_vockice,-0.5,128.5
"jag, gro, kes",fail,0.5,129.0
"lim, jag, lim",Duple_vockice,-0.5,128.5
"kes, gro, tre",fail,0.5,129.0
"kes, kes, kes",JACKPOT,-29.5,99.5
"kes, gro, tre",fail,0.5,100.0
"kes, nar, jag",fail,0.5,100.5
"gro, lim, lim",Duple_vockice,-0.5,100.0
"tre, nar, tre",Duple_vockice,-0.5,99.5
"tre, jag, lim",fail,0.5,100.0
"jag, gro, tre",fail,0.5,100.5
"tre, nar, gro",fail,0.5,101.0
"jag, tre, lim",fail,0.5,101.5
"tre, lim, gro",fail,0.5,102.0
"gro, jag, tre",fail,0.5,102.5
"tre, kes, nar",fail,0.5,103.0
"jag, nar, gro",fail,0.5,103.5
"jag, jag, tre",Duple_vockice,-0.5,103.0
"tre, tre, tre",Vocni_jackpot,-2.5,100.5
"tre, kes, tre",Duple_vockice,-0.5,100.0
"nar, gro, kes",fail,0.5,100.5
"gro, src, kes",fail,0.5,101.0
"gro, kes, lim",fail,0.5,101.5
"tre, jag, tre",Duple_vockice,-0.5,101.0
"nar, jag, jag",Duple_vockice,-0.5,100.5
"gro, gro, gro",Vocni_jackpot,-2.5,98.0
"tre, lim, nar",fail,0.5,98.5
"tre, lim, tre",Duple_vockice,-0.5,98.0
"nar, src, kes",fail,0.5,98.5
"tre, lim, tre",Duple_vockice,-0.5,98.0
"lim, lim, tre",Duple_vockice,-0.5,97.5
"tre, lim, tre",Duple_vockice,-0.5,97.0
"nar, lim, lim",Duple_vockice,-0.5,96.5
"src, gro, lim",fail,0.5,97.0
"jag, nar, gro",fail,0.5,97.5
"src, kes, gro",fail,0.5,98.0
"tre, lim, tre",Duple_vockice,-0.5,97.5
"jag, tre, nar",fail,0.5,98.0
"gro, kes, jag",fail,0.5,98.5
"lim, gro, lim",Duple_vockice,-0.5,98.0
"src, src, tre",free_spin,0.5,98.5
"kes, tre, lim",fail,0.0,98.5
"jag, src, nar",fail,0.5,99.0
"nar, gro, tre",fail,0.5,99.5
"src, tre, kes",fail,0.5,100.0
"jag, tre, nar",fail,0.5,100.5
"nar, nar, kes",Duple_vockice,-0.5,100.0
"nar, kes, gro",fail,0.5,100.5
"tre, lim, lim",Duple_vockice,-0.5,100.0
"tre, lim, tre",Duple_vockice,-0.5,99.5
"lim, lim, kes",Duple_vockice,-0.5,99.0
"nar, gro, tre",fail,0.5,99.5
"src, lim, jag",fail,0.5,100.0
"lim, kes, nar",fail,0.5,100.5
"kes, nar, kes",bonus_x2,0.5,101.0
"tre, kes, tre",Duple_vockice,-1.5,99.5
"tre, nar, nar",Duple_vockice,-0.5,99.0
"tre, nar, kes",fail,0.5,99.5
"tre, lim, gro",fail,0.5,100.0
"src, tre, nar",fail,0.5,100.5
"src, lim, jag",fail,0.5,101.0
"kes, nar, nar",Duple_vockice,-0.5,100.5
"jag, src, tre",fail,0.5,101.0
"tre, nar, kes",fail,0.5,101.5
"gro, lim, lim",Duple_vockice,-0.5,101.0
"tre, lim, tre",Duple_vockice,-0.5,100.5
"src, jag, nar",fail,0.5,101.0
"src, lim, gro",fail,0.5,101.5
"src, jag, tre",fail,0.5,102.0
"kes, tre, tre",Duple_vockice,-0.5,101.5
"kes, jag, tre",fail,0.5,102.0
"nar, src, lim",fail,0.5,102.5
"jag, lim, tre",fail,0.5,103.0
"nar, tre, tre",Duple_vockice,-0.5,102.5
"tre, kes, tre",Duple_vockice,-0.5,102.0
"kes, tre, nar",fail,0.5,102.5
"tre, lim, tre",Duple_vockice,-0.5,102.0
"src, lim, tre",fail,0.5,102.5
"lim, tre, tre",Duple_vockice,-0.5,102.0
"lim, lim, lim",Vocni_jackpot,-2.5,99.5
"tre, src, nar",fail,0.5,100.0
"nar, src, lim",fail,0.5,100.5
"jag, kes, jag",Duple_vockice,-0.5,100.0
"tre, tre, kes",Duple_vockice,-0.5,99.5
"nar, gro, lim",fail,0.5,100.0
"gro, nar, tre",fail,0.5,100.5
"tre, gro, kes",fail,0.5,101.0
"kes, nar, tre",fail,0.5,101.5
"tre, kes, gro",fail,0.5,102.0
"nar, kes, gro",fail,0.5,102.5
"jag, nar, kes",fail,0.5,103.0
"nar, kes, lim",fail,0.5,103.5
"nar, lim, kes",fail,0.5,104.0
"nar, kes, nar",Duple_vockice,-0.5,103.5
"gro, tre, kes",fail,0.5,104.0
"jag, lim, tre",fail,0.5,104.5
"src, kes, tre",fail,0.5,105.0
"src, jag, tre",fail,0.5,105.5
"jag, tre, kes",fail,0.5,106.0
"tre, gro, nar",fail,0.5,106.5
"lim, lim, kes",Duple_vockice,-0.5,106.0
"kes, src, kes",bonus_x2,0.5,106.5
"lim, gro, tre",fail,0.5,107.0
"nar, src, tre",fail,0.5,107.5
"kes, kes, tre",bonus_x2,0.5,108.0
"kes, lim, tre",fail,0.5,108.5
"kes, jag, tre",fail,0.5,109.0
"jag, lim, tre",fail,0.5,109.5
"tre, src, lim",fail,0.5,110.0
"jag, gro, tre",fail,0.5,110.5
"src, src, jag",free_spin,0.5,111.0
"tre, kes, gro",fail,0.0,111.0
"tre, jag, tre",Duple_vockice,-0.5,110.5
"lim, gro, tre",fail,0.5,111.0
"tre, nar, tre",Duple_vockice,-0.5,110.5
"jag, src, nar",fail,0.5,111.0
"lim, nar, tre",fail,0.5,111.5
"tre, lim, nar",fail,0.5,112.0
"gro, jag, lim",fail,0.5,112.5
"jag, kes, kes",bonus_x2,0.5,113.0
"kes, lim, tre",fail,0.5,113.5
"jag, kes, tre",fail,0.5,114.0
"tre, nar, tre",Duple_vockice,-0.5,113.5
"nar, tre, gro",fail,0.5,114.0
"src, nar, jag",fail,0.5,114.5
"lim, gro, gro",Duple_vockice,-0.5,114.0
"lim, tre, nar",fail,0.5,114.5
"kes, tre, lim",fail,0.5,115.0
"kes, kes, jag",bonus_x2,0.5,115.5
"lim, jag, jag",Duple_vockice,-1.5,114.0
"gro, lim, gro",Duple_vockice,-0.5,113.5
"src, gro, nar",fail,0.5,114.0
"jag, tre, nar",fail,0.5,114.5
"tre, src, jag",fail,0.5,115.0
"src, gro, nar",fail,0.5,115.5
"src, nar, jag",fail,0.5,116.0
"kes, kes, tre",bonus_x2,0.5,116.5
"tre, kes, tre",Duple_vockice,-1.5,115.0
"nar, gro, lim",fail,0.5,115.5
"gro, nar, jag",fail,0.5,116.0
"tre, nar, tre",Duple_vockice,-0.5,115.5
"tre, jag, lim",fail,0.5,116.0
"lim, kes, kes",bonus_x2,0.5,116.5
"kes, lim, kes",bonus_x2,0.5,117.0
"src, gro, tre",fail,0.5,117.5
"tre, tre, nar",Duple_vockice,-0.5,117.0
"jag, gro, tre",fail,0.5,117.5
"tre, gro, lim",fail,0.5,118.0
"tre, lim, gro",fail,0.5,118.5
"lim, tre, tre",Duple_vockice,-0.5,118.0
"lim, lim, jag",Duple_vockice,-0.5,117.5
"tre, jag, jag",Duple_vockice,-0.5,117.0
"jag, lim, tre",fail,0.5,117.5
"src, lim, tre",fail,0.5,118.0
"tre, src, kes",fail,0.5,118.5
"tre, jag, kes",fail,0.5,119.0
"lim, tre, nar",fail,0.5,119.5
"lim, src, tre",fail,0.5,120.0
"gro, gro, kes",Duple_vockice,-0.5,119.5
"jag, jag, tre",Duple_vockice,-0.5,119.0
"tre, jag, gro",fail,0.5,119.5
"tre, src, jag",fail,0.5,120.0
"src, gro, tre",fail,0.5,120.5
"nar, lim, jag",fail,0.5,121.0
"lim, src, nar",fail,0.5,121.5
"tre, tre, tre",Vocni_jackpot,-2.5,119.0
"jag, src, tre",fail,0.5,119.5
"nar, kes, jag",fail,0.5,120.0
"tre, jag, nar",fail,0.5,120.5
"lim, lim, tre",Duple_vockice,-0.5,120.0
"kes, src, tre",fail,0.5,120.5
"src, gro, tre",fail,0.5,121.0
"kes, tre, tre",Duple_vockice,-0.5,120.5
"src, tre, gro",fail,0.5,121.0
"gro, lim, gro",Duple_vockice,-0.5,120.5
"tre, jag, nar",fail,0.5,121.0
"tre, kes, nar",fail,0.5,121.5
"lim, lim, kes",Duple_vockice,-0.5,121.0
"tre, tre, lim",Duple_vockice,-0.5,120.5
"src, lim, kes",fail,0.5,121.0
"src, jag, lim",fail,0.5,121.5
"tre, lim, jag",fail,0.5,122.0
"src, tre, tre",Duple_vockice,-0.5,121.5
"src, lim, kes",fail,0.5,122.0
"tre, kes, jag",fail,0.5,122.5
"kes, lim, kes",bonus_x2,0.5,123.0
"tre, tre, tre",Vocni_jackpot,-5.5,117.5
"gro, jag, lim",fail,0.5,118.0
"jag, lim, jag",Duple_vockice,-0.5,117.5
"nar, kes, tre",fail,0.5,118.0
"lim, nar, jag",fail,0.5,118.5
"src, nar, lim",fail,0.5,119.0
"nar, nar, tre",Duple_vockice,-0.5,118.5
"tre, lim, lim",Duple_vockice,-0.5,118.0
"tre, lim, tre",Duple_vockice,-0.5,117.5
"kes, kes, kes",JACKPOT,-29.5,88.0
"kes, nar, jag",fail,0.5,88.5
"lim, gro, lim",Duple_vockice,-0.5,88.0
"jag, tre, lim",fail,0.5,88.5
"gro, jag, gro",Duple_vockice,-0.5,88.0
"src, lim, kes",fail,0.5,88.5
"gro, nar, tre",fail,0.5,89.0
"nar, lim, kes",fail,0.5,89.5
"tre, gro, kes",fail,0.5,90.0
"jag, jag, tre",Duple_vockice,-0.5,89.5
"tre, gro, tre",Duple_vockice,-0.5,89.0
"kes, kes, kes",JACKPOT,-29.5,59.5
"gro, kes, tre",fail,0.5,60.0
"tre, nar, lim",fail,0.5,60.5
"jag, jag, gro",Duple_vockice,-0.5,60.0
"lim, src, lim",Duple_vockice,-0.5,59.5
"src, tre, gro",fail,0.5,60.0
"tre, src, kes",fail,0.5,60.5
"tre, lim, tre",Duple_vockice,-0.5,60.0
"gro, lim, tre",fail,0.5,60.5
"gro, jag, tre",fail,0.5,61.0
"jag, jag, tre",Duple_vockice,-0.5,60.5
"tre, lim, jag",fail,0.5,61.0
"nar, gro, nar",Duple_vockice,-0.5,60.5
"tre, lim, kes",fail,0.5,61.0
"kes, kes, lim",bonus_x2,0.5,61.5
"kes, tre, jag",fail,0.5,62.0
"src, kes, nar",fail,0.5,62.5
"gro, lim, lim",Duple_vockice,-0.5,62.0
"src, jag, nar",fail,0.5,62.5
"tre, tre, nar",Duple_vockice,-0.5,62.0
"nar, gro, gro",Duple_vockice,-0.5,61.5
"gro, tre, lim",fail,0.5,62.0
"src, lim, nar",fail,0.5,62.5
"lim, jag, lim",Duple_vockice,-0.5,62.0
"tre, kes, nar",fail,0.5,62.5
"tre, kes, kes",bonus_x2,0.5,63.0
"gro, nar, jag",fail,0.5,63.5
"lim, src, nar",fail,0.5,64.0
"gro, nar, tre",fail,0.5,64.5
"gro, lim, kes",fail,0.5,65.0
"gro, jag, kes",fail,0.5,65.5
"jag, kes, lim",fail,0.5,66.0
"kes, kes, tre",bonus_x2,0.5,66.5
"tre, nar, lim",fail,0.5,67.0
"gro, gro, nar",Duple_vockice,-0.5,66.5
"tre, kes, gro",fail,0.5,67.0
"jag, lim, nar",fail,0.5,67.5
"gro, lim, lim",Duple_vockice,-0.5,67.0
"src, gro, kes",fail,0.5,67.5
"gro, gro, tre",Duple_vockice,-0.5,67.0
"src, lim, kes",fail,0.5,67.5
"lim, jag, tre",fail,0.5,68.0
"nar, nar, tre",Duple_vockice,-0.5,67.5
"gro, nar, jag",fail,0.5,68.0
"nar, gro, kes",fail,0.5,68.5
"jag, src, jag",Duple_vockice,-0.5,68.0
"lim, nar, gro",fail,0.5,68.5
"src, lim, tre",fail,0.5,69.0
"gro, src, gro",Duple_vockice,-0.5,68.5
"gro, kes, nar",fail,0.5,69.0
"nar, kes, nar",Duple_vockice,-0.5,68.5
"jag, lim, kes",fail,0.5,69.0
"tre, lim, tre",Duple_vockice,-0.5,68.5
"kes, lim, tre",fail,0.5,69.0
"lim, lim, kes",Duple_vockice,-0.5,68.5
"tre, gro, gro",Duple_vockice,-0.5,68.0
"src, kes, jag",fail,0.5,68.5
"nar, gro, nar",Duple_vockice,-0.5,68.0
"jag, src, lim",fail,0.5,68.5
"tre, gro, nar",fail,0.5,69.0
"kes, lim, tre",fail,0.5,69.5
"src, lim, gro",fail,0.5,70.0
"gro, src, tre",fail,0.5,70.5
"jag, tre, gro",fail,0.5,71.0
"kes, tre, tre",Duple_vockice,-0.5,70.5
"gro, gro, jag",Duple_vockice,-0.5,70.0
"kes, nar, nar",Duple_vockice,-0.5,69.5
"kes, lim, tre",fail,0.5,70.0
"nar, kes, gro",fail,0.5,70.5
"lim, tre, gro",fail,0.5,71.0
"src, src, jag",free_spin,0.5,71.5
"tre, src, lim",fail,0.0,71.5
"tre, nar, tre",Duple_vockice,-0.5,71.0
"tre, src, gro",fail,0.5,71.5
"gro, src, lim",fail,0.5,72.0
"jag, jag, tre",Duple_vockice,-0.5,71.5
"jag, tre, lim",fail,0.5,72.0
"tre, kes, tre",Duple_vockice,-0.5,71.5
"lim, kes, kes",bonus_x2,0.5,72.0
"jag, jag, lim",Duple_vockice,-1.5,70.5
"src, src, kes",free_spin,0.5,71.0
"nar, nar, tre",Duple_vockice,-1.0,70.0
"lim, src, nar",fail,0.5,70.5
"src, lim, lim",Duple_vockice,-0.5,70.0
"lim, kes, nar",fail,0.5,70.5
"gro, lim, nar",fail,0.5,71.0
"lim, jag, tre",fail,0.5,71.5
"kes, tre, tre",Duple_vockice,-0.5,71.0
"gro, tre, tre",Duple_vockice,-0.5,70.5
"tre, lim, lim",Duple_vockice,-0.5,70.0
"kes, jag, gro",fail,0.5,70.5
"lim, gro, kes",fail,0.5,71.0
"gro, lim, gro",Duple_vockice,-0.5,70.5
"src, lim, kes",fail,0.5,71.0
"gro, lim, jag",fail,0.5,71.5
"tre, tre, tre",Vocni_jackpot,-2.5,69.0
"nar, gro, lim",fail,0.5,69.5
"lim, lim, gro",Duple_vockice,-0.5,69.0
"gro, jag, tre",fail,0.5,69.5
"src, jag, nar",fail,0.5,70.0
"jag, kes, tre",fail,0.5,70.5
"src, kes, jag",fail,0.5,71.0
"tre, lim, gro",fail,0.5,71.5
"lim, nar, jag",fail,0.5,72.0
"jag, tre, nar",fail,0.5,72.5
"lim, src, tre",fail,0.5,73.0
"gro, tre, lim",fail,0.5,73.5
"gro, gro, jag",Duple_vockice,-0.5,73.0
"kes, lim, lim",Duple_vockice,-0.5,72.5
"kes, jag, lim",fail,0.5,73.0
"kes, lim, nar",fail,0.5,73.5
"src, kes, jag",fail,0.5,74.0
"lim, lim, kes",Duple_vockice,-0.5,73.5
"gro, kes, lim",fail,0.5,74.0
"lim, kes, tre",fail,0.5,74.5
"kes, lim, jag",fail,0.5,75.0
"jag, gro, kes",fail,0.5,75.5
"tre, jag, kes",fail,0.5,76.0
"jag, lim, kes",fail,0.5,76.5
"jag, jag, kes",Duple_vockice,-0.5,76.0
"nar, kes, tre",fail,0.5,76.5
"tre, nar, nar",Duple_vockice,-0.5,76.0
"tre, tre, jag",Duple_vockice,-0.5,75.5
"jag, nar, tre",fail,0.5,76.0
"lim, jag, tre",fail,0.5,76.5
"kes, gro, gro",Duple_vockice,-0.5,76.0
"src, src, tre",free_spin,0.5,76.5
"src, nar, gro",fail,0.0,76.5
"jag, tre, nar",fail,0.5,77.0
"jag, jag, tre",Duple_vockice,-0.5,76.5
"jag, nar, lim",fail,0.5,77.0
"tre, src, kes",fail,0.5,77.5
"lim, gro, gro",Duple_vockice,-0.5,77.0
"tre, gro, kes",fail,0.5,77.5
"nar, lim, tre",fail,0.5,78.0
"tre, tre, nar",Duple_vockice,-0.5,77.5
"nar, src, tre",fail,0.5,78.0
"jag, tre, tre",Duple_vockice,-0.5,77.5
"tre, gro, tre",Duple_vockice,-0.5,77.0
"kes, src, tre",fail,0.5,77.5
"tre, src, tre",Duple_vockice,-0.5,77.0
"lim, nar, kes",fail,0.5,77.5
"gro, tre, jag",fail,0.5,78.0
"kes, src, tre",fail,0.5,78.5
"lim, lim, gro",Duple_vockice,-0.5,78.0
"tre, kes, tre",Duple_vockice,-0.5,77.5
"tre, tre, jag",Duple_vockice,-0.5,77.0
"tre, gro, lim",fail,0.5,77.5
"lim, nar, gro",fail,0.5,78.0
"src, src, kes",free_spin,0.5,78.5
"tre, nar, lim",fail,0.0,78.5
"tre, src, tre",Duple_vockice,-0.5,78.0
"gro, tre, tre",Duple_vockice,-0.5,77.5
"src, jag, tre",fail,0.5,78.0
"kes, gro, tre",fail,0.5,78.5
"jag, nar, tre",fail,0.5,79.0
"tre, tre, jag",Duple_vockice,-0.5,78.5
"gro, nar, tre",fail,0.5,79.0
"nar, jag, tre",fail,0.5,79.5
"tre, nar, gro",fail,0.5,80.0
"kes, tre, jag",fail,0.5,80.5
"nar, lim, jag",fail,0.5,81.0
"nar, jag, gro",fail,0.5,81.5
"jag, nar, tre",fail,0.5,82.0
"tre, lim, nar",fail,0.5,82.5
"gro, nar, gro",Duple_vockice,-0.5,82.0
"tre, gro, jag",fail,0.5,82.5
"tre, lim, lim",Duple_vockice,-0.5,82.0
"lim, src, jag",fail,0.5,82.5
"tre, gro, nar",fail,0.5,83.0
"jag, lim, tre",fail,0.5,83.5
"src, src, kes",free_spin,0.5,84.0
"tre, nar, kes",fail,0.0,84.0
"gro, lim, kes",fail,0.5,84.5
"tre, src, tre",Duple_vockice,-0.5,84.0
"nar, lim, tre",fail,0.5,84.5
"nar, jag, gro",fail,0.5,85.0
"tre, nar, jag",fail,0.5,85.5
"gro, jag, lim",fail,0.5,86.0
"src, kes, kes",bonus_x2,0.5,86.5
"lim, src, lim",Duple_vockice,-1.5,85.0
"tre, lim, gro",fail,0.5,85.5
"tre, src, nar",fail,0.5,86.0
"gro, jag, kes",fail,0.5,86.5
"tre, jag, tre",Duple_vockice,-0.5,86.0
"nar, nar, tre",Duple_vockice,-0.5,85.5
"jag, tre, jag",Duple_vockice,-0.5,85.0
"jag, kes, lim",fail,0.5,85.5
"kes, jag, tre",fail,0.5,86.0
"gro, jag, tre",fail,0.5,86.5
"lim, src, tre",fail,0.5,87.0
"gro, lim, tre",fail,0.5,87.5
"kes, lim, tre",fail,0.5,88.0
"gro, lim, lim",Duple_vockice,-0.5,87.5
"lim, src, lim",Duple_vockice,-0.5,87.0
"nar, gro, gro",Duple_vockice,-0.5,86.5
"jag, gro, tre",fail,0.5,87.0
"src, lim, tre",fail,0.5,87.5
"tre, lim, lim",Duple_vockice,-0.5,87.0
"tre, kes, lim",fail,0.5,87.5
"kes, lim, tre",fail,0.5,88.0
"jag, kes, tre",fail,0.5,88.5
"lim, kes, tre",fail,0.5,89.0
"lim, kes, jag",fail,0.5,89.5
"tre, gro, gro",Duple_vockice,-0.5,89.0
"lim, tre, gro",fail,0.5,89.5
"tre, gro, tre",Duple_vockice,-0.5,89.0
"kes, kes, nar",bonus_x2,0.5,89.5
"kes, gro, gro",Duple_vockice,-1.5,88.0
"gro, gro, nar",Duple_vockice,-0.5,87.5
"gro, lim, tre",fail,0.5,88.0
"kes, lim, kes",bonus_x2,0.5,88.5
"kes, kes, tre",bonus_x2,0.5,89.0
"src, lim, kes",fail,0.5,89.5
"tre, src, tre",Duple_vockice,-0.5,89.0
"gro, kes, tre",fail,0.5,89.5
"lim, lim, jag",Duple_vockice,-0.5,89.0
"lim, tre, lim",Duple_vockice,-0.5,88.5
"tre, jag, kes",fail,0.5,89.0
"src, tre, lim",fail,0.5,89.5
"jag, nar, tre",fail,0.5,90.0
"tre, lim, jag",fail,0.5,90.5
"gro, lim, gro",Duple_vockice,-0.5,90.0
"tre, jag, tre",Duple_vockice,-0.5,89.5
"tre, nar, gro",fail,0.5,90.0
"gro, nar, jag",fail,0.5,90.5
"tre, jag, tre",Duple_vockice,-0.5,90.0
"gro, lim, tre",fail,0.5,90.5
"nar, src, nar",Duple_vockice,-0.5,90.0
"jag, kes, tre",fail,0.5,90.5
"src, gro, kes",fail,0.5,91.0
"gro, lim, tre",fail,0.5,91.5
"gro, lim, tre",fail,0.5,92.0
"kes, kes, tre",bonus_x2,0.5,92.5
"nar, tre, tre",Duple_vockice,-1.5,91.0
"src, src, tre",free_spin,0.5,91.5
"gro, nar, kes",fail,0.0,91.5
"jag, lim, jag",Duple_vockice,-0.5,91.0
"src, src, kes",free_spin,0.5,91.5
"lim, gro, nar",fail,0.0,91.5
"nar, tre, tre",Duple_vockice,-0.5,91.0
"tre, lim, tre",Duple_vockice,-0.5,90.5
"nar, kes, tre",fail,0.5,91.0
"gro, lim, nar",fail,0.5,91.5
"tre, jag, jag",Duple_vockice,-0.5,91.0
"tre, lim, lim",Duple_vockice,-0.5,90.5
"tre, lim, lim",Duple_vockice,-0.5,90.0
"jag, lim, tre",fail,0.5,90.5
"jag, lim, kes",fail,0.5,91.0
"kes, tre, tre",Duple_vockice,-0.5,90.5
"gro, src, tre",fail,0.5,91.0
"jag, lim, tre",fail,0.5,91.5
"gro, tre, tre",Duple_vockice,-0.5,91.0
"tre, nar, nar",Duple_vockice,-0.5,90.5
"jag, jag, lim",Duple_vockice,-0.5,90.0
"gro, src, lim",fail,0.5,90.5
"lim, tre, kes",fail,0.5,91.0
"tre, lim, nar",fail,0.5,91.5
"nar, gro, lim",fail,0.5,92.0
"lim, nar, jag",fail,0.5,92.5
"gro, kes, gro",Duple_vockice,-0.5,92.0
"tre, lim, tre",Duple_vockice,-0.5,91.5
"gro, lim, jag",fail,0.5,92.0
"tre, lim, nar",fail,0.5,92.5
"nar, src, kes",fail,0.5,93.0
"lim, src, lim",Duple_vockice,-0.5,92.5
"gro, gro, jag",Duple_vockice,-0.5,92.0
"tre, jag, tre",Duple_vockice,-0.5,91.5
"tre, lim, kes",fail,0.5,92.0
"gro, lim, jag",fail,0.5,92.5
"src, src, lim",free_spin,0.5,93.0
"src, jag, tre",fail,0.0,93.0
"tre, kes, tre",Duple_vockice,-0.5,92.5
"nar, nar, jag",Duple_vockice,-0.5,92.0
"kes, nar, tre",fail,0.5,92.5
"kes, gro, kes",bonus_x2,0.5,93.0
"nar, jag, kes",fail,0.5,93.5
"nar, nar, nar",Vocni_jackpot,-2.5,91.0
"tre, nar, kes",fail,0.5,91.5
"gro, lim, gro",Duple_vockice,-0.5,91.0
"jag, gro, kes",fail,0.5,91.5
"nar, lim, lim",Duple_vockice,-0.5,91.0
"nar, kes, nar",Duple_vockice,-0.5,90.5
"nar, gro, lim",fail,0.5,91.0
"tre, kes, kes",bonus_x2,0.5,91.5
"tre, tre, lim",Duple_vockice,-1.5,90.0
"kes, lim, gro",fail,0.5,90.5
"lim, nar, lim",Duple_vockice,-0.5,90.0
"src, gro, lim",fail,0.5,90.5
"tre, lim, tre",Duple_vockice,-0.5,90.0
"jag, tre, gro",fail,0.5,90.5
"kes, nar, gro",fail,0.5,91.0
"nar, tre, tre",Duple_vockice,-0.5,90.5
"jag, kes, tre",fail,0.5,91.0
"kes, lim, gro",fail,0.5,91.5
"kes, lim, gro",fail,0.5,92.0
"lim, nar, tre",fail,0.5,92.5
"lim, tre, gro",fail,0.5,93.0
"nar, src, tre",fail,0.5,93.5
"src, lim, gro",fail,0.5,94.0
"gro, kes, gro",Duple_vockice,-0.5,93.5
"lim, gro, tre",fail,0.5,94.0
"gro, gro, kes",Duple_vockice,-0.5,93.5
"jag, lim, tre",fail,0.5,94.0
"tre, tre, jag",Duple_vockice,-0.5,93.5
"tre, src, jag",fail,0.5,94.0
"nar, src, tre",fail,0.5,94.5
"tre, lim, nar",fail,0.5,95.0
"gro, kes, gro",Duple_vockice,-0.5,94.5
"tre, kes, jag",fail,0.5,95.0
"nar, kes, kes",bonus_x2,0.5,95.5
"lim, lim, lim",Vocni_jackpot,-5.5,90.0
"jag, jag, nar",Duple_vockice,-0.5,89.5
"tre, jag, tre",Duple_vockice,-0.5,89.0
"tre, nar, gro",fail,0.5,89.5
"src, lim, kes",fail,0.5,90.0
"nar, kes, jag",fail,0.5,90.5
"src, lim, kes",fail,0.5,91.0
"nar, nar, tre",Duple_vockice,-0.5,90.5
"tre, lim, lim",Duple_vockice,-0.5,90.0
"kes, kes, jag",bonus_x2,0.5,90.5
"kes, nar, jag",fail,0.5,91.0
"lim, tre, jag",fail,0.5,91.5
